"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"07-Nov-2024","EQ","1,595.95","1,608.55","1,569.65","1,598.80","1,573.70","1,575.80","1,586.68","1,779.00","929.00","51,60,994","8,18,88,48,584.00","1,96,604"
"06-Nov-2024","EQ","1,583.00","1,610.75","1,566.50","1,578.40","1,597.25","1,598.80","1,593.11","1,779.00","929.00","66,31,728","10,56,50,53,107.70","2,54,078"
"05-Nov-2024","EQ","1,583.25","1,593.90","1,566.00","1,591.25","1,587.45","1,578.40","1,577.00","1,779.00","929.00","64,73,278","10,20,83,32,409.80","2,15,994"
"04-Nov-2024","EQ","1,619.15","1,623.85","1,573.05","1,616.45","1,589.90","1,591.25","1,590.15","1,779.00","929.00","60,94,029","9,69,04,29,950.70","2,22,617"
"01-Nov-2024","EQ","1,620.00","1,626.35","1,605.35","1,612.60","1,613.80","1,616.45","1,619.32","1,779.00","895.45","2,79,441","45,25,04,411.05","15,038"
"31-Oct-2024","EQ","1,634.00","1,638.80","1,602.15","1,633.35","1,620.00","1,612.60","1,615.91","1,779.00","895.45","49,21,681","7,95,30,03,828.75","2,35,785"
"30-Oct-2024","EQ","1,627.80","1,651.00","1,617.80","1,637.10","1,636.50","1,633.35","1,634.76","1,779.00","895.45","46,22,628","7,55,68,94,648.75","1,59,697"
"29-Oct-2024","EQ","1,650.50","1,667.95","1,610.00","1,663.35","1,641.90","1,637.10","1,632.06","1,779.00","895.45","69,90,747","11,40,93,14,583.90","2,32,073"
"28-Oct-2024","EQ","1,658.15","1,677.85","1,645.65","1,666.00","1,665.05","1,663.35","1,664.65","1,779.00","895.45","28,11,651","4,68,04,28,475.10","1,33,010"
"25-Oct-2024","EQ","1,681.10","1,684.75","1,655.85","1,678.45","1,670.75","1,666.00","1,669.27","1,779.00","895.45","34,34,386","5,73,29,17,769.50","1,88,065"
"24-Oct-2024","EQ","1,687.00","1,693.00","1,657.40","1,685.80","1,682.95","1,678.45","1,674.95","1,779.00","895.45","36,69,575","6,14,63,55,468.00","1,82,028"
"23-Oct-2024","EQ","1,690.00","1,701.35","1,680.10","1,692.25","1,685.05","1,685.80","1,689.64","1,779.00","895.45","27,64,757","4,67,14,54,657.35","96,507"
"22-Oct-2024","EQ","1,692.00","1,712.90","1,687.35","1,692.55","1,690.00","1,692.25","1,696.40","1,779.00","895.45","30,70,057","5,20,80,31,068.75","1,96,059"
"21-Oct-2024","EQ","1,705.55","1,708.95","1,662.00","1,707.85","1,690.00","1,692.55","1,687.52","1,779.00","895.45","38,36,168","6,47,35,93,466.35","2,12,409"
"18-Oct-2024","EQ","1,710.00","1,716.10","1,685.20","1,701.15","1,702.00","1,707.85","1,704.33","1,779.00","895.45","41,54,915","7,08,13,60,280.10","1,83,111"
"17-Oct-2024","EQ","1,736.75","1,737.95","1,694.40","1,733.95","1,701.95","1,701.15","1,711.22","1,779.00","895.45","43,73,392","7,48,38,52,555.90","1,48,163"
"16-Oct-2024","EQ","1,720.00","1,742.25","1,717.10","1,717.25","1,732.00","1,733.95","1,729.33","1,779.00","895.45","32,99,887","5,70,65,94,336.30","1,55,634"
"15-Oct-2024","EQ","1,708.00","1,732.75","1,699.95","1,695.60","1,718.00","1,717.25","1,717.32","1,779.00","895.45","58,91,334","10,11,72,78,156.90","1,60,508"
"14-Oct-2024","EQ","1,686.00","1,710.05","1,679.35","1,687.40","1,693.95","1,695.60","1,694.12","1,779.00","895.45","20,69,815","3,50,65,14,940.50","1,28,955"
